@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
0,0,37,123,4,4,23,0.852,0,T8,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T8,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T8,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T8,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T8,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T8,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T8,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T8,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T8,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T8,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T8,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T8,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T8,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T8,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T8,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T8,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T8,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T8,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T8,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T8,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T9,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T9,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T9,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T9,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T9,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T9,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T9,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T9,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T9,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T9,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T9,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T9,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T9,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T9,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T9,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T9,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T9,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T10,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T10,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T10,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T10,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T10,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T10,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T10,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T10,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T10,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T10,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T10,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T10,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T10,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T10,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T10,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T10,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T10,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T10,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T10,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T10,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T12,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T12,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T12,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T12,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T12,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T12,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T12,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T12,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T12,method,0,0,0,no
0,0,37,123,4,4,23,0.852,0,T14,method,0,0,0,no
0,0,2,8,2,4,23,0.852,0,T1,V,0,0,0,no
0,0,2,8,2,4,23,0.852,0,T6,V,0,0,0,no
0,0,2,8,2,4,23,0.852,0,T7,V,0,0,0,no
0,0,2,8,2,4,23,0.852,0,T7,V,0,0,0,no
0,0,2,8,2,4,23,0.852,0,T7,V,0,0,0,no
0,0,2,8,2,4,23,0.852,0,T7,V,0,0,0,no
0,0,2,8,2,4,23,0.852,0,T8,V,0,0,0,no
0,0,2,8,2,4,23,0.852,0,T10,V,0,0,0,no
0,0,2,8,2,4,23,0.852,0,T10,V,0,0,0,no
0,0,1,3,1,4,23,0.852,0,T1,method,0,0,0,no
0,0,1,3,1,4,23,0.852,0,T3,method,0,0,0,no
0,0,1,3,1,4,23,0.852,0,T9,method,0,0,0,no
0,0,2,7,2,4,23,0.852,0,T0,I,0,0,0,no
0,0,2,7,2,4,23,0.852,0,T1,I,0,0,0,no
0,0,2,7,2,4,23,0.852,0,T1,I,0,0,0,no
0,0,2,7,2,4,23,0.852,0,T3,I,0,0,0,no
0,0,2,7,2,4,23,0.852,0,T6,I,0,0,0,no
0,0,2,7,2,4,23,0.852,0,T7,I,0,0,0,no
0,0,2,7,2,4,23,0.852,0,T7,I,0,0,0,no
0,0,2,7,2,4,23,0.852,0,T7,I,0,0,0,no
0,0,2,7,2,4,23,0.852,0,T9,I,0,0,0,no
1,0,1,3,1,2,7,0.778,0,T3,V,0,0,0,no
1,0,2,11,2,2,7,0.778,0,T3,V,0,0,0,no
1,0,1,3,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,2,11,2,2,7,0.778,0,T7,V,0,0,0,no
1,0,2,11,2,2,7,0.778,0,T10,V,0,0,0,no
1,0,2,11,2,2,7,0.778,0,T10,V,0,0,0,no
1,0,1,3,1,2,7,0.778,0,T12,V,0,0,0,no
1,0,1,3,1,2,7,0.778,0,T12,V,0,0,0,no
1,0,2,11,2,2,7,0.778,0,T12,V,0,0,0,no
1,0,2,11,2,2,7,0.778,0,T12,V,0,0,0,no
1,0,2,11,2,2,7,0.778,0,T12,V,0,0,0,no
1,0,1,3,1,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,3,1,2,7,0.778,0,T9,method,0,0,0,no
1,0,1,3,1,2,7,0.778,0,T5,J,0,0,0,no
1,0,1,3,1,2,7,0.778,0,T7,J,0,0,0,no
1,0,1,3,1,2,7,0.778,0,T7,J,0,0,0,no
1,0,1,3,1,2,7,0.778,0,T9,J,0,0,0,no
1,0,3,13,2,2,7,0.778,0,T3,V,0,0,0,no
1,0,3,13,2,2,7,0.778,0,T6,V,0,0,0,no
1,0,3,13,2,2,7,0.778,0,T7,V,0,0,0,no
1,0,3,13,2,2,7,0.778,0,T8,V,0,0,0,no
1,0,3,13,2,2,7,0.778,0,T10,V,0,0,0,no
1,0,3,13,2,2,7,0.778,0,T10,V,0,0,0,no
1,0,3,13,2,2,7,0.778,0,T12,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T10,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T10,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T10,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T10,V,0,0,0,no
1,0,2,6,2,2,7,0.778,0,T6,V,0,0,0,no
1,0,2,6,2,2,7,0.778,0,T8,V,0,0,0,no
1,0,2,6,2,2,7,0.778,0,T10,V,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T0,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T1,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T1,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T2,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T3,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T3,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T6,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T9,method,0,0,0,no
1,0,1,19,2,2,7,0.778,0,T11,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T0,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T1,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T2,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T3,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T6,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T9,method,0,0,0,no
1,0,1,16,2,2,7,0.778,0,T11,method,0,0,0,no
1,0,3,10,2,2,7,0.778,0,T3,method,0,0,0,no
1,0,3,10,2,2,7,0.778,0,T6,method,0,0,0,no
1,0,3,10,2,2,7,0.778,0,T6,method,0,0,0,no
1,0,3,10,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,3,10,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,3,10,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,3,10,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,3,10,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,3,10,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,3,10,2,2,7,0.778,0,T7,method,0,0,0,no
1,0,3,10,2,2,7,0.778,0,T8,method,0,0,0,no
1,0,3,10,2,2,7,0.778,0,T8,method,0,0,0,no
1,0,3,10,2,2,7,0.778,0,T9,method,0,0,0,no
1,0,3,10,2,2,7,0.778,0,T9,method,0,0,0,no
1,0,3,10,2,2,7,0.778,0,T9,method,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T10,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T10,V,0,0,0,no
1,0,1,3,1,2,7,0.778,0,T10,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T1,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T10,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T1,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T10,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T1,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T10,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T1,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T10,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T1,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T10,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T1,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T10,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T1,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T10,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T1,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T10,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T1,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T7,V,0,0,0,no
1,0,1,4,1,2,7,0.778,0,T10,V,0,0,0,no
