@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
2,0,68,361,7,6,9,0.6,40,T3,V,0,0,0,yes
2,0,68,361,7,6,9,0.6,40,T3,V,5,0,0,yes
2,0,68,361,7,6,9,0.6,40,T3,V,0,0,0,yes
2,0,68,361,7,6,9,0.6,40,T3,V,0,0,0,yes
2,0,68,361,7,6,9,0.6,40,T3,V,0,0,0,yes
2,0,68,361,7,6,9,0.6,40,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,40,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,40,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,40,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,40,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,40,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,168,T3,V,5,0,0,no
2,0,68,361,7,6,9,0.6,128,T3,V,5,0,0,no
2,0,68,361,7,6,9,0.6,128,T3,V,5,0,0,no
2,0,68,361,7,6,9,0.6,128,T3,V,5,0,0,no
2,0,68,361,7,6,9,0.6,128,T3,V,5,0,0,no
2,0,68,361,7,6,9,0.6,0,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,512,T3,V,5,0,0,no
2,0,68,361,7,6,9,0.6,512,T3,V,5,0,0,no
2,0,68,361,7,6,9,0.6,40,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,464,T3,V,5,0,0,no
2,0,68,361,7,6,9,0.6,464,T3,V,5,0,0,yes
2,0,68,361,7,6,9,0.6,464,T3,V,5,0,0,no
2,0,68,361,7,6,9,0.6,464,T3,V,5,0,0,yes
2,0,68,361,7,6,9,0.6,32,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,32,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,192,T3,V,5,0,0,yes
2,0,68,361,7,6,9,0.6,48,T3,V,5,0,0,yes
2,0,68,361,7,6,9,0.6,48,T3,V,5,0,0,yes
2,0,68,361,7,6,9,0.6,48,T3,V,5,0,0,yes
2,0,68,361,7,6,9,0.6,48,T3,V,5,0,0,yes
2,0,68,361,7,6,9,0.6,48,T3,V,5,0,0,yes
2,0,68,361,7,6,9,0.6,48,T3,V,5,0,0,no
2,0,68,361,7,6,9,0.6,48,T3,V,5,0,0,no
2,0,68,361,7,6,9,0.6,48,T3,V,5,0,0,no
2,0,68,361,7,6,9,0.6,16,T3,V,2,0,0,no
2,0,68,361,7,6,9,0.6,16,T3,V,2,0,0,yes
2,0,68,361,7,6,9,0.6,16,T3,V,2,0,0,no
2,0,68,361,7,6,9,0.6,16,T3,V,2,0,0,no
2,0,68,361,7,6,9,0.6,16,T3,V,2,0,0,no
2,0,68,361,7,6,9,0.6,16,T3,V,2,0,0,yes
2,0,68,361,7,6,9,0.6,16,T3,V,2,0,0,yes
2,0,68,361,7,6,9,0.6,16,T3,V,2,0,0,yes
2,0,68,361,7,6,9,0.6,56,T3,V,2,0,0,yes
2,0,68,361,7,6,9,0.6,40,T3,V,2,0,0,yes
2,0,68,361,7,6,9,0.6,40,T3,V,2,0,0,yes
2,0,68,361,7,6,9,0.6,48,T3,V,2,0,0,yes
2,0,68,361,7,6,9,0.6,32,T3,V,2,0,0,yes
2,0,68,361,7,6,9,0.6,32,T3,V,2,0,0,yes
2,0,68,361,7,6,9,0.6,40,T3,V,2,0,0,yes
2,0,68,361,7,6,9,0.6,40,T3,V,2,0,0,yes
2,0,68,361,7,6,9,0.6,32,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,32,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,48,T3,V,5,0,0,yes
2,0,68,361,7,6,9,0.6,48,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,144,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,144,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,144,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,144,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,144,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,144,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,144,T3,V,3,0,0,no
2,0,68,361,7,6,9,0.6,0,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,0,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,0,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,0,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,0,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,144,T3,V,3,0,0,no
2,0,68,361,7,6,9,0.6,0,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,0,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,0,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,0,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,144,T3,V,3,0,0,no
2,0,68,361,7,6,9,0.6,144,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,232,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,232,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,232,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,232,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,232,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,232,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,88,T3,V,2,0,0,no
2,0,68,361,7,6,9,0.6,88,T3,V,2,0,0,no
2,0,68,361,7,6,9,0.6,88,T3,V,2,0,0,no
2,0,68,361,7,6,9,0.6,88,T3,V,2,0,0,no
2,0,68,361,7,6,9,0.6,88,T3,V,2,0,0,no
2,0,68,361,7,6,9,0.6,376,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,232,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,232,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,232,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,88,T3,V,2,0,0,yes
2,0,68,361,7,6,9,0.6,88,T3,V,2,0,0,yes
2,0,68,361,7,6,9,0.6,520,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,376,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,376,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,376,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,232,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,232,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,232,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,232,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,232,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,232,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,232,T3,V,3,0,0,no
2,0,68,361,7,6,9,0.6,376,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,376,T3,V,3,0,0,no
2,0,68,361,7,6,9,0.6,232,T3,V,3,0,0,yes
2,0,68,361,7,6,9,0.6,0,T3,V,0,0,0,no
2,0,68,361,7,6,9,0.6,1304,T3,V,3,0,0,yes
